PI,A_1,A_2,transmittance,cte,strength,tg,SaScore,reward
Cc1cccc2c1CC(C)C=C2N1C(=O)C2C3C=CC(C2C1=O)C1C2C(=O)N(C)C(=O)C2C31,"458,187","970,171",81.81,37.1,85.98,432.51,5.6,0.381
None,"563,14,286","540,522,314",0.0,0.0,0.0,0.0,0.0,0.0
None,451,667,0.0,0.0,0.0,0.0,0.0,0.0
None,"19,321","125,390",0.0,0.0,0.0,0.0,0.0,0.0
None,277,759,0.0,0.0,0.0,0.0,0.0,0.0
None,180,842,0.0,0.0,0.0,0.0,0.0,0.0
None,17,558,0.0,0.0,0.0,0.0,0.0,0.0
None,324,880,0.0,0.0,0.0,0.0,0.0,0.0
None,549,259,0.0,0.0,0.0,0.0,0.0,0.0
None,533,878,0.0,0.0,0.0,0.0,0.0,0.0
None,272,296,0.0,0.0,0.0,0.0,0.0,0.0
None,90,389,0.0,0.0,0.0,0.0,0.0,0.0
None,181,511,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc2ccc(N3C(=O)C4C5CC(C6C(=O)N(C)C(=O)C56)C4C3=O)c(F)c2c(F)c1F,"54,572","267,229",78.15,20.18,102.26,413.98,4.93,0.4006
None,"121,124","568,640",0.0,0.0,0.0,0.0,0.0,0.0
None,"473,442,145","73,801,398",0.0,0.0,0.0,0.0,0.0,0.0
None,362,103,0.0,0.0,0.0,0.0,0.0,0.0
None,320,63,0.0,0.0,0.0,0.0,0.0,0.0
None,480,200,0.0,0.0,0.0,0.0,0.0,0.0
None,185,352,0.0,0.0,0.0,0.0,0.0,0.0
None,265,135,0.0,0.0,0.0,0.0,0.0,0.0
None,"349,74","262,575",0.0,0.0,0.0,0.0,0.0,0.0
None,287,656,0.0,0.0,0.0,0.0,0.0,0.0
None,405,639,0.0,0.0,0.0,0.0,0.0,0.0
None,550,143,0.0,0.0,0.0,0.0,0.0,0.0
None,387,441,0.0,0.0,0.0,0.0,0.0,0.0
None,"483,161","345,615",0.0,0.0,0.0,0.0,0.0,0.0
None,171,42,0.0,0.0,0.0,0.0,0.0,0.0
None,"51,418","898,555",0.0,0.0,0.0,0.0,0.0,0.0
None,432,945,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c(c1)CCc1cc3c(cc1-2)CCc1cc(N2C(=O)C4C=CC(Cc5ccc6c(c5)C(=O)N(C)C6=O)=CC4C2=O)ccc1-3,520,540,32.75,46.08,94.33,357.41,4.04,0.1575
None,460,925,0.0,0.0,0.0,0.0,0.0,0.0
None,"557,491","904,535",0.0,0.0,0.0,0.0,0.0,0.0
None,196,791,0.0,0.0,0.0,0.0,0.0,0.0
None,372,879,0.0,0.0,0.0,0.0,0.0,0.0
None,"186,128","408,712",0.0,0.0,0.0,0.0,0.0,0.0
None,95,529,0.0,0.0,0.0,0.0,0.0,0.0
Cc1c2ccccc2cc2ccc(N3C(=O)C4(C)C5(C)C(=O)N(C)C(=O)C5(C)C4(C)C3=O)cc12,377,211,72.04,32.56,148.65,364.36,4.13,0.3863
None,487,534,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c(F)c(N3C(=O)c4ccc(C5(c6ccc7c(c6)C(=O)N(C)C7=O)CCc6ccccc65)cc4C3=O)c(F)c(F)c2c1,202,233,45.4,31.94,124.9,362.46,3.69,0.2522
None,8,339,0.0,0.0,0.0,0.0,0.0,0.0
None,488,110,0.0,0.0,0.0,0.0,0.0,0.0
None,545,986,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c3ccc(C)c4c(N5C(=O)C6C7C=CC(C8C(=O)N(C)C(=O)C78)C6C5=O)ccc(c5ccc(C)c1c25)c43,"119,575","600,948",77.23,18.27,104.53,476.62,4.93,0.4198
None,162,611,0.0,0.0,0.0,0.0,0.0,0.0
None,202,310,0.0,0.0,0.0,0.0,0.0,0.0
None,413,411,0.0,0.0,0.0,0.0,0.0,0.0
None,530,47,0.0,0.0,0.0,0.0,0.0,0.0
None,170,598,0.0,0.0,0.0,0.0,0.0,0.0
None,259,679,0.0,0.0,0.0,0.0,0.0,0.0
None,28,962,0.0,0.0,0.0,0.0,0.0,0.0
None,494,27,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(-c2ccc3ccccc3c2N2C(=O)C3C=CC=C(Oc4ccc5c(c4)C(=O)N(C)C5=O)C3C2=O)cc1,7,580,73.34,39.4,109.18,342.74,3.7,0.3823
None,"4,287","177,992",0.0,0.0,0.0,0.0,0.0,0.0
None,442,883,0.0,0.0,0.0,0.0,0.0,0.0
None,293,377,0.0,0.0,0.0,0.0,0.0,0.0
None,387,555,0.0,0.0,0.0,0.0,0.0,0.0
None,549,943,0.0,0.0,0.0,0.0,0.0,0.0
None,479,341,0.0,0.0,0.0,0.0,0.0,0.0
None,242,985,0.0,0.0,0.0,0.0,0.0,0.0
None,480,570,0.0,0.0,0.0,0.0,0.0,0.0
None,"88,476","842,785",0.0,0.0,0.0,0.0,0.0,0.0
None,203,512,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c(c1)Oc1ccc(-n3c(=O)c4c5c(=O)n(C)c(=O)c5c5c6c(=O)oc(=O)c6c6c(=O)oc(=O)c6c5c4c3=O)cc1O2,"63,211,384","396,866,542",0.43,31.59,110.28,383.93,3.48,0.0025
None,210,578,0.0,0.0,0.0,0.0,0.0,0.0
None,509,466,0.0,0.0,0.0,0.0,0.0,0.0
None,78,386,0.0,0.0,0.0,0.0,0.0,0.0
None,456,727,0.0,0.0,0.0,0.0,0.0,0.0
None,"516,335,423,229","698,805,504,910",0.0,0.0,0.0,0.0,0.0,0.0
None,525,726,0.0,0.0,0.0,0.0,0.0,0.0
None,238,318,0.0,0.0,0.0,0.0,0.0,0.0
None,"192,60","453,394",0.0,0.0,0.0,0.0,0.0,0.0
None,"212,201,178","440,55,436",0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2nc3ccc(N4C(=O)C5C(C4=O)C4C6CC(C7C8C(=O)N(C)C(=O)C8C67)C54)cc3nc2c1,411,668,77.01,23.95,107.66,480.57,5.37,0.4063
None,549,269,0.0,0.0,0.0,0.0,0.0,0.0
None,229,441,0.0,0.0,0.0,0.0,0.0,0.0
None,419,848,0.0,0.0,0.0,0.0,0.0,0.0
None,83,137,0.0,0.0,0.0,0.0,0.0,0.0
None,177,193,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c(c1)Oc1cc(N3C(=O)C45CCCCC46C(=O)N(C)C(=O)C64CCCCC45C3=O)ccc1OCCOCCOCCO2,371,388,88.11,56.91,72.38,275.05,6.11,0.3057
Cc1cc2cc3cc(C)c(N4C(=O)CC5(CC6CC5C5C(=O)N(C)C(=O)C65)C4=O)cc3nc2cc1C,"145,358","904,229",78.69,41.53,100.49,415.38,5.46,0.3575
None,443,392,0.0,0.0,0.0,0.0,0.0,0.0
None,259,263,0.0,0.0,0.0,0.0,0.0,0.0
None,453,749,0.0,0.0,0.0,0.0,0.0,0.0
None,549,219,0.0,0.0,0.0,0.0,0.0,0.0
None,"410,462","415,803",0.0,0.0,0.0,0.0,0.0,0.0
None,487,929,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(Nc2ccc(N3C(=O)C4=CC(Oc5ccc6c(c5)C(=O)N(C)C6=O)=CCC4(C)C3=O)c(C3(C)CC3)c2)cc1,"5,193,278","510,420,356",58.15,48.4,113.1,313.88,3.79,0.2809
None,"321,75,88,413","345,675,488,328",0.0,0.0,0.0,0.0,0.0,0.0
None,200,458,0.0,0.0,0.0,0.0,0.0,0.0
None,436,983,0.0,0.0,0.0,0.0,0.0,0.0
None,"136,354","997,639",0.0,0.0,0.0,0.0,0.0,0.0
None,"365,343","22,473",0.0,0.0,0.0,0.0,0.0,0.0
None,"365,500","114,853",0.0,0.0,0.0,0.0,0.0,0.0
None,334,943,0.0,0.0,0.0,0.0,0.0,0.0
None,345,41,0.0,0.0,0.0,0.0,0.0,0.0
None,283,651,0.0,0.0,0.0,0.0,0.0,0.0
None,334,71,0.0,0.0,0.0,0.0,0.0,0.0
None,511,77,0.0,0.0,0.0,0.0,0.0,0.0
None,93,656,0.0,0.0,0.0,0.0,0.0,0.0
None,180,99,0.0,0.0,0.0,0.0,0.0,0.0
None,437,576,0.0,0.0,0.0,0.0,0.0,0.0
None,469,901,0.0,0.0,0.0,0.0,0.0,0.0
None,"326,45","0,745",0.0,0.0,0.0,0.0,0.0,0.0
None,320,790,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(N=Nc2cccc3ccccc23)cc(N2C(=O)c3cc4ccccc4c(-c4ccc5c(c4)C(=O)N(C)C5=O)c3C2=O)c1,161,87,1.23,35.69,180.78,347.96,3.01,0.0075
None,"130,476","942,429",0.0,0.0,0.0,0.0,0.0,0.0
None,"339,325","565,790",0.0,0.0,0.0,0.0,0.0,0.0
None,"114,62,468","391,28,734",0.0,0.0,0.0,0.0,0.0,0.0
None,"51,498","772,331",0.0,0.0,0.0,0.0,0.0,0.0
None,554,774,0.0,0.0,0.0,0.0,0.0,0.0
None,396,658,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc2ccc3c(C)c(N4C(=O)C5C(C4=O)C4C6CC(C7C8CC(C67)C6C7C(=O)N(C)C(=O)C7C86)C54)c(C)c4c(C)c(C)c(c1)c2c34,409,614,83.07,33.73,92.23,474.92,6.53,0.4103
None,561,17,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(-c2ccc(N3C(=O)c4ccc(C5(c6ccc7c(c6)C(=O)N(C)C7=O)c6ccccc6C6CCCCC65)cc4C3=O)cc2)cc1O,"68,152","843,13",66.25,38.73,126.55,400.25,4.06,0.351
None,173,861,0.0,0.0,0.0,0.0,0.0,0.0
None,474,480,0.0,0.0,0.0,0.0,0.0,0.0
None,378,414,0.0,0.0,0.0,0.0,0.0,0.0
None,560,107,0.0,0.0,0.0,0.0,0.0,0.0
None,184,955,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(-c2ccc3ccc4c(N5C(=O)C6C7CC(C6C5=O)C5C6CC(C8C(=O)N(C)C(=O)C68)C75)ccc5ccc2c3c54)cc1,"222,353","447,577",80.14,25.33,105.31,464.52,5.62,0.4141
None,"238,4","366,540",0.0,0.0,0.0,0.0,0.0,0.0
None,"467,219,268","471,338,796",0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(C)c2ccc3c(N4C(=O)c5ccc(C#Cc6ccc7c(c6)C(=O)N(C)C7=O)cc5C4=O)cc(C)c4ccc1c2c43,493,599,5.02,36.1,140.59,342.01,2.98,0.0297
None,215,469,0.0,0.0,0.0,0.0,0.0,0.0
None,34,347,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cccc2c1ccc1c(N3C(=O)C4C5CC(C6C(=O)N(C)C(=O)C56)C4C3=O)cccc12,572,221,75.64,39.73,120.96,436.17,4.56,0.3826
None,400,519,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(F)c2c(N3C(=O)c4ccc(C5CCC6C(=O)N(C)C(=O)C6C5)cc4C3=O)c(F)c(F)cc12,"24,291","699,245",79.69,48.18,92.51,368.52,3.86,0.3916
None,27,949,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C2C=CC=C(N3C(=O)C4C(C)(C3=O)C3C(=O)N(C)C(=O)C34F)C2)cc1,"92,365","398,897",76.17,54.42,97.56,369.85,4.69,0.3224
Cc1ccc(-c2ccc(N3C(=O)C4=CCCC(c5ccc6c(c5)C(=O)N(C)C6=O)=C4C3=O)cc2)nc1,517,534,1.59,16.44,154.62,348.49,2.89,0.0104
None,232,166,0.0,0.0,0.0,0.0,0.0,0.0
None,"337,67","657,722",0.0,0.0,0.0,0.0,0.0,0.0
None,48,732,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(-c2c3ccccc3cc3c(N4C(=O)c5ccc(C6CC7CC6C6C(=O)N(C)C(=O)C76)cc5C4=O)cccc23)cc1,64,426,82.02,43.8,120.88,405.52,4.7,0.3888
None,"71,460","16,949",0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C2(c3ccc(N4C(=O)c5c(-c6ccc7c(c6)C(=O)OC7=O)c(-c6cc7c(c8ccccc68)C(=O)N(C)C7=O)c6ccccc6c5C4=O)cc3)C(=O)Nc3ccccc32)cc1,"214,73","794,744",9.83,32.18,100.91,393.55,4.13,0.0518
None,32,354,0.0,0.0,0.0,0.0,0.0,0.0
None,"547,118","930,675",0.0,0.0,0.0,0.0,0.0,0.0
None,245,48,0.0,0.0,0.0,0.0,0.0,0.0
None,274,584,0.0,0.0,0.0,0.0,0.0,0.0
None,21,439,0.0,0.0,0.0,0.0,0.0,0.0
None,148,402,0.0,0.0,0.0,0.0,0.0,0.0
None,45,340,0.0,0.0,0.0,0.0,0.0,0.0
None,123,173,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2cc3ccccc3cc2c1-c1ccc(N2C(=O)C3CCC4CC5C(=O)N(C)C(=O)C5CC4C3C2=O)cc1,86,603,80.47,47.03,106.78,400.89,4.17,0.3967
None,16,861,0.0,0.0,0.0,0.0,0.0,0.0
None,"317,238","541,894",0.0,0.0,0.0,0.0,0.0,0.0
None,490,234,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2ccc(-c3ccc4ccc(-c5ccc(N6C(=O)c7ccc(NC8CCC9C(=O)N(C)C(=O)C9C8)cc7C6=O)cc5)cc4c3)cc2c1,"416,24","625,597",26.72,29.8,97.42,407.47,3.83,0.1489
None,281,557,0.0,0.0,0.0,0.0,0.0,0.0
None,44,793,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(CC(F)(F)N2C(=O)CC(C3CC(=O)N(C)C3=O)C2=O)cc1,"331,543","963,755",80.33,56.37,108.71,286.93,3.56,0.374
Cc1cc(C)c2c(N3C(=O)C4C5C=CC(C6C(=O)N(C)C(=O)C56)C4C3=O)cc(C)cc2c1,575,182,78.89,29.38,104.39,442.21,4.88,0.3986
None,258,319,0.0,0.0,0.0,0.0,0.0,0.0
None,33,910,0.0,0.0,0.0,0.0,0.0,0.0
None,"573,123","801,344",0.0,0.0,0.0,0.0,0.0,0.0
None,176,756,0.0,0.0,0.0,0.0,0.0,0.0
None,"38,243","204,212",0.0,0.0,0.0,0.0,0.0,0.0
None,352,982,0.0,0.0,0.0,0.0,0.0,0.0
CCCC(C)(CCC)C1(c2ccc(N3C(=O)C4C=CC(Cc5ccc6c(c5)C(=O)N(C)C6=O)=CC4C3=O)cc2)CCCC1,"520,468","688,16",79.98,47.73,83.84,244.27,4.24,0.3307
None,257,610,0.0,0.0,0.0,0.0,0.0,0.0
None,288,312,0.0,0.0,0.0,0.0,0.0,0.0
C=Cc1cc(N2C(=O)c3ccc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)C(=O)N(C)C5=O)cc3C2=O)cc2c(C=C)cc(C)cc12,382,126,7.43,56.74,132.02,251.46,3.47,0.0347
None,480,495,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc2c(c1)c(N1C(=O)C3=CC=C(c4ccc5c(c4)C(=O)N(C)C5=O)C(C)C3C1=O)cc1ccccc12,318,213,72.48,43.31,135.18,339.61,3.77,0.375
None,322,188,0.0,0.0,0.0,0.0,0.0,0.0
None,"277,281","557,15",0.0,0.0,0.0,0.0,0.0,0.0
C=C(CC(C)(C)c1ccc(N2C(=O)C3C4(C)C(=O)N(C)C(=O)C4(C)C3(C)C2=O)cc1)c1ccc(C)cc1,375,928,74.63,36.72,93.81,333.96,4.3,0.3563
Cc1ccc(-c2cc(N3C(=O)c4ccc(C(C5=CCC6C(=O)N(C)C(=O)C6C5)(C(F)(F)F)C(F)(F)F)cc4C3=O)ccc2C)cc1,348,769,83.55,52.55,101.93,331.36,3.92,0.3892
None,"248,7","846,751",0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(C2C=CC(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5(C)C4(C)C3=O)=CC2)cc1,375,284,75.36,51.53,92.58,339.76,4.62,0.3172
None,462,390,0.0,0.0,0.0,0.0,0.0,0.0
None,152,106,0.0,0.0,0.0,0.0,0.0,0.0
None,278,855,0.0,0.0,0.0,0.0,0.0,0.0
None,392,601,0.0,0.0,0.0,0.0,0.0,0.0
None,478,728,0.0,0.0,0.0,0.0,0.0,0.0
None,343,866,0.0,0.0,0.0,0.0,0.0,0.0
None,354,493,0.0,0.0,0.0,0.0,0.0,0.0
None,"575,206","465,329",0.0,0.0,0.0,0.0,0.0,0.0
None,408,387,0.0,0.0,0.0,0.0,0.0,0.0
None,"505,442","947,898",0.0,0.0,0.0,0.0,0.0,0.0
None,486,529,0.0,0.0,0.0,0.0,0.0,0.0
None,"407,198","604,302",0.0,0.0,0.0,0.0,0.0,0.0
None,"510,136","926,287",0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(N2C(=O)C3C(C2=O)C2C3C3CC2C2(CC(=O)N(C)C2=O)C3)c2cccc(C)c2c1,"38,410","201,2",76.94,48.05,99.17,364.36,5.67,0.3209
None,"304,107","969,573",0.0,0.0,0.0,0.0,0.0,0.0
None,232,926,0.0,0.0,0.0,0.0,0.0,0.0
None,246,664,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc2ccccc2c2cccc(N3C(=O)C4C5(C)C(=O)N(C)C(=O)C5C4(C)C3=O)c12,"81,233,555","88,639,203",73.7,53.95,96.11,412.08,4.07,0.3552
None,306,356,0.0,0.0,0.0,0.0,0.0,0.0
None,"510,119,84","645,285,992",0.0,0.0,0.0,0.0,0.0,0.0
Cc1c(N2C(=O)C3C(C)(C2=O)C2C(=O)N(C)C(=O)C23F)c2ccccc2c2ccccc12,365,636,75.68,53.02,96.05,420.11,4.15,0.3649
None,34,221,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccc(S(=O)(=O)c2ccc(N3C(=O)C4C5CC(c6ccc7c(c6)C(=O)N(C)C7=O)C(C5)C4C3=O)cc2)cc1,64,985,73.61,50.44,89.15,357.76,4.54,0.3199
Cc1ccc(S(=O)c2ccc(N3C(=O)c4ccc(C5(C)CC(=O)N(C)C5=O)cc4C3=O)cc2)cc1,"528,364","18,838",76.73,52.4,98.18,331.35,3.56,0.3748
None,514,189,0.0,0.0,0.0,0.0,0.0,0.0
None,523,674,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc2cc(C)c(N3C(=O)C45CCCCC46C(=O)N(C)C(=O)C64CCCCC45C3=O)cc2cc1C,371,251,82.97,44.07,95.1,363.06,5.49,0.3523
C=Cc1cc(-c2ccc3c(c2)C(=O)N(c2ccc4c(c2)OCCOCCOc2ccc(C)cc2OCCOCCO4)C3=O)cc2c1C(=O)N(C)C2=O,479,395,17.75,67.76,107.39,265.65,3.73,0.074
None,"573,178","948,79",0.0,0.0,0.0,0.0,0.0,0.0
None,76,938,0.0,0.0,0.0,0.0,0.0,0.0
None,31,108,0.0,0.0,0.0,0.0,0.0,0.0
None,228,712,0.0,0.0,0.0,0.0,0.0,0.0
None,15,596,0.0,0.0,0.0,0.0,0.0,0.0
None,210,903,0.0,0.0,0.0,0.0,0.0,0.0
None,"186,253","751,911",0.0,0.0,0.0,0.0,0.0,0.0
None,"347,348","238,294",0.0,0.0,0.0,0.0,0.0,0.0
None,76,138,0.0,0.0,0.0,0.0,0.0,0.0
None,567,312,0.0,0.0,0.0,0.0,0.0,0.0
None,369,748,0.0,0.0,0.0,0.0,0.0,0.0
Cc1c(F)cc(-c2ccc(N3C(=O)c4ccc(S(=O)c5ccc6c(c5)C(=O)N(C)C6=O)cc4C3=O)cc2)cc1F,"165,403","319,190",19.58,46.84,96.81,334.46,3.34,0.1014
None,"25,160","386,292",0.0,0.0,0.0,0.0,0.0,0.0
None,237,878,0.0,0.0,0.0,0.0,0.0,0.0
None,307,381,0.0,0.0,0.0,0.0,0.0,0.0
None,"222,148","954,806",0.0,0.0,0.0,0.0,0.0,0.0
None,234,741,0.0,0.0,0.0,0.0,0.0,0.0
None,"276,70","562,596",0.0,0.0,0.0,0.0,0.0,0.0
None,11,315,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(N2C(=O)c3ccc(-c4c(C)cc(C(C)(C)CCCCC(C)(C)C5CC(=O)N(C)C5=O)cc4C)cc3C2=O)cc2c1CCCC2,"13,321,69","116,804,187",69.24,56.24,84.67,326.62,3.83,0.3136
None,"124,330","760,75",0.0,0.0,0.0,0.0,0.0,0.0
None,"219,510,271","163,239,102",0.0,0.0,0.0,0.0,0.0,0.0
None,259,504,0.0,0.0,0.0,0.0,0.0,0.0
None,38,734,0.0,0.0,0.0,0.0,0.0,0.0
None,3,918,0.0,0.0,0.0,0.0,0.0,0.0
None,50,193,0.0,0.0,0.0,0.0,0.0,0.0
None,322,890,0.0,0.0,0.0,0.0,0.0,0.0
None,"336,522,171","450,542,810",0.0,0.0,0.0,0.0,0.0,0.0
None,392,353,0.0,0.0,0.0,0.0,0.0,0.0
None,330,77,0.0,0.0,0.0,0.0,0.0,0.0
None,146,708,0.0,0.0,0.0,0.0,0.0,0.0
None,18,322,0.0,0.0,0.0,0.0,0.0,0.0
None,166,680,0.0,0.0,0.0,0.0,0.0,0.0
None,233,853,0.0,0.0,0.0,0.0,0.0,0.0
None,458,488,0.0,0.0,0.0,0.0,0.0,0.0
None,456,781,0.0,0.0,0.0,0.0,0.0,0.0
None,"40,531","469,794",0.0,0.0,0.0,0.0,0.0,0.0
None,"113,474,206","238,137,892",0.0,0.0,0.0,0.0,0.0,0.0
None,337,431,0.0,0.0,0.0,0.0,0.0,0.0
None,490,80,0.0,0.0,0.0,0.0,0.0,0.0
None,70,280,0.0,0.0,0.0,0.0,0.0,0.0
None,267,340,0.0,0.0,0.0,0.0,0.0,0.0
None,"87,335,37","995,42,671",0.0,0.0,0.0,0.0,0.0,0.0
None,"304,371","749,672",0.0,0.0,0.0,0.0,0.0,0.0
None,36,903,0.0,0.0,0.0,0.0,0.0,0.0
None,"326,569","176,681",0.0,0.0,0.0,0.0,0.0,0.0
None,213,545,0.0,0.0,0.0,0.0,0.0,0.0
CC1CCC(N2C(=O)C3C4C=CC(C5C(=O)N(C)C(=O)C45)C3C2=O)=N1,"277,575,183","557,833,538",82.14,41.14,87.69,428.74,5.35,0.3736
None,527,108,0.0,0.0,0.0,0.0,0.0,0.0
None,"20,56","826,282",0.0,0.0,0.0,0.0,0.0,0.0
None,"284,441","120,385",0.0,0.0,0.0,0.0,0.0,0.0
None,"107,61","940,434",0.0,0.0,0.0,0.0,0.0,0.0
None,14,342,0.0,0.0,0.0,0.0,0.0,0.0
None,260,522,0.0,0.0,0.0,0.0,0.0,0.0
None,325,76,0.0,0.0,0.0,0.0,0.0,0.0
None,"111,208","344,297",0.0,0.0,0.0,0.0,0.0,0.0
None,561,354,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C2C(=O)N(C)C(=O)C2=CC(Oc2ccc3c(c2)C(=O)N(c2ccc(P(=O)(c4ccccc4)c4ccccc4)c(-c4ccc(C)cc4)c2)C3=O)=CC1,126,406,86.68,40.13,104.97,321.5,3.56,0.4493
None,305,82,0.0,0.0,0.0,0.0,0.0,0.0
None,"120,515","149,878",0.0,0.0,0.0,0.0,0.0,0.0
None,"60,448","81,987",0.0,0.0,0.0,0.0,0.0,0.0
None,446,784,0.0,0.0,0.0,0.0,0.0,0.0
None,"21,515,246","213,202,759",0.0,0.0,0.0,0.0,0.0,0.0
None,253,161,0.0,0.0,0.0,0.0,0.0,0.0
None,436,383,0.0,0.0,0.0,0.0,0.0,0.0
None,"26,71","759,776",0.0,0.0,0.0,0.0,0.0,0.0
None,210,716,0.0,0.0,0.0,0.0,0.0,0.0
None,498,0,0.0,0.0,0.0,0.0,0.0,0.0
None,192,56,0.0,0.0,0.0,0.0,0.0,0.0
None,538,135,0.0,0.0,0.0,0.0,0.0,0.0
None,446,298,0.0,0.0,0.0,0.0,0.0,0.0
